response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0248,1.3619,0.1205,0.0048,3.1887,15.4693,200,0.0816
20.0248,1.3489,0.1205,0.0279,3.5749,15.0731,200,0.0816
20.0248,1.3633,0.1205,0.0049,3.8393,14.8173,200,0.0817
20.0247,1.3640,0.1204,0.0047,3.6415,15.0145,200,0.0819
20.0247,1.3431,0.1203,0.0036,3.3318,15.3463,200,0.0820
20.0246,1.3717,0.1203,0.0017,4.1211,14.5301,200,0.0821
20.0246,1.3547,0.1202,0.0253,3.6268,15.0178,200,0.0822
20.0247,1.3636,0.1202,0.0048,3.4940,15.1623,200,0.0823
20.0247,1.3595,0.1201,0.0043,3.5435,15.1174,200,0.0824
20.0247,1.3616,0.1201,0.0051,3.2900,15.3680,200,0.0824
20.0247,1.3703,0.1201,0.0125,3.2122,15.4297,200,0.0825
20.0247,1.3703,0.1201,0.0017,3.5701,15.0825,200,0.0826
20.0247,1.3621,0.1200,0.0049,4.9683,13.6893,200,0.0827
20.0247,1.3594,0.1200,0.0042,3.7014,14.9597,200,0.0827
20.0247,1.3604,0.1200,0.0046,3.4269,15.2328,200,0.0828
20.0268,1.3592,0.1200,0.0043,4.4726,14.1906,200,0.0828
